Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
41,CA-2022-100020,05/20/2022,05/26/2022,Standard Class,CG-10787,Pete Davis,Corporate,United States,Seattle,Washington,98103,West,OFF-STO-10000041,Office Supplies,Storage,Storage Model P-618,710.91,3,0.0,133.73
42,CA-2024-100021,01/16/2024,01/18/2024,First Class,CG-10360,Zuschuss Davis,Consumer,United States,Columbus,Ohio,43229,East,OFF-ART-10000042,Office Supplies,Art,Art Model Q-655,18.08,1,0.0,7.49
43,CA-2023-100021,01/23/2023,01/30/2023,Standard Class,CG-10092,James Martinez,Corporate,United States,Las Vegas,Nevada,89115,West,TEC-PHO-10000043,Technology,Phones,Phones Model R-692,245.08,3,0.15,35.33
44,CA-2023-100022,12/21/2023,12/28/2023,Standard Class,CG-10403,David Pawel,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-FAS-10000044,Office Supplies,Fasteners,Fasteners Model S-729,10.7,2,0.0,3.22
45,CA-2021-100022,07/02/2021,07/08/2021,Standard Class,CG-10570,David Barstow,Corporate,United States,San Diego,California,92037,West,OFF-SUP-10000045,Office Supplies,Supplies,Supplies Model T-766,324.52,7,0.0,45.09
46,CA-2022-100023,04/01/2022,04/05/2022,Standard Class,CG-10583,Tracy Davis,Consumer,United States,Portland,Oregon,97201,West,OFF-BIN-10000046,Office Supplies,Binders,Binders Model U-803,611.8,7,0.0,-91.06
47,CA-2023-100023,10/02/2023,10/09/2023,Standard Class,CG-10669,Tracy Phan,Corporate,United States,Houston,Texas,77005,Central,FUR-TAB-10000047,Furniture,Tables,Tables Model V-840,883.93,2,0.4,-488.84
48,CA-2024-100024,11/19/2024,11/25/2024,Standard Class,CG-10083,James Martinez,Consumer,United States,Boston,Massachusetts,02116,East,OFF-FAS-10000048,Office Supplies,Fasteners,Fasteners Model W-877,107.92,4,0.0,39.97
49,CA-2024-100024,12/03/2024,12/08/2024,Second Class,CG-10562,Andrew Ballentine,Corporate,United States,Detroit,Michigan,48205,Central,OFF-ART-10000049,Office Supplies,Art,Art Model X-914,396.85,5,0.0,129.57
50,CA-2024-100025,08/27/2024,08/31/2024,Standard Class,CG-10234,Tracy Kintis,Consumer,United States,Milwaukee,Wisconsin,53209,Central,OFF-ART-10000050,Office Supplies,Art,Art Model Y-951,289.3,5,0.0,79.58
51,CA-2023-100025,11/20/2023,11/25/2023,Second Class,CG-10633,Harold Gutenberg,Corporate,United States,Columbus,Ohio,43229,East,TEC-COP-10000051,Technology,Copiers,Copiers Model Z-988,2988.72,4,0.0,1053.41
52,CA-2024-100026,11/04/2024,11/11/2024,Standard Class,CG-10117,James Gutenberg,Consumer,United States,Phoenix,Arizona,85023,West,FUR-TAB-10000052,Furniture,Tables,Tables Model A-1025,1109.53,1,0.0,-94.16
53,CA-2023-100026,07/03/2023,07/09/2023,Standard Class,CG-10201,Harold Allen,Corporate,United States,Dallas,Texas,75220,Central,TEC-PHO-10000053,Technology,Phones,Phones Model B-1062,1030.32,1,0.0,305.02
54,CA-2023-100027,10/13/2023,10/13/2023,Same Day,CG-10485,Sandra Martinez,Consumer,United States,Las Vegas,Nevada,89115,West,FUR-FUR-10000054,Furniture,Furnishings,Furnishings Model C-100,533.05,8,0.15,70.7
55,CA-2021-100027,09/19/2021,09/24/2021,Standard Class,CG-10233,Michael Blumstein,Corporate,United States,San Francisco,California,94109,West,OFF-APP-10000055,Office Supplies,Appliances,Appliances Model D-137,1558.76,7,0.0,440.35
56,CA-2022-100028,12/15/2022,12/19/2022,Standard Class,CG-10200,Jessica Barstow,Home Office,United States,Newark,New Jersey,07102,East,FUR-TAB-10000056,Furniture,Tables,Tables Model E-174,6867.09,9,0.0,-912.4
57,CA-2021-100028,12/09/2021,12/16/2021,Standard Class,CG-10378,Michael Donatelli,Corporate,United States,Houston,Texas,77005,Central,TEC-PHO-10000057,Technology,Phones,Phones Model F-211,1515.42,3,0.4,-376.52
58,CA-2024-100029,11/09/2024,11/15/2024,Standard Class,CG-10498,Claire Williams,Corporate,United States,San Francisco,California,94109,West,OFF-PAP-10000058,Office Supplies,Paper,Paper Model G-248,72.16,1,0.0,26.56
59,CA-2023-100029,02/01/2023,02/04/2023,Second Class,CG-10213,Maria Connell,Home Office,United States,Columbus,Ohio,43229,East,FUR-CHA-10000059,Furniture,Chairs,Chairs Model H-285,1768.16,4,0.0,173.79
60,CA-2022-100030,10/14/2022,10/19/2022,Standard Class,CG-10394,Tracy Davis,Corporate,United States,San Diego,California,92037,West,TEC-MAC-10000060,Technology,Machines,Machines Model I-322,1872.44,1,0.0,1.83
61,CA-2024-100030,01/31/2024,02/06/2024,Standard Class,CG-10227,Emily Miller,Consumer,United States,Philadelphia,Pennsylvania,19140,East,TEC-PHO-10000061,Technology,Phones,Phones Model J-359,7071.72,6,0.0,2443.31
62,CA-2023-100031,02/11/2023,02/17/2023,Standard Class,CG-10750,Michael Martinez,Consumer,United States,Seattle,Washington,98103,West,OFF-SUP-10000062,Office Supplies,Supplies,Supplies Model K-396,376.34,2,0.0,-23.06
63,CA-2022-100031,12/14/2022,12/20/2022,Standard Class,CG-10322,Sarah Donatelli,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PAP-10000063,Office Supplies,Paper,Paper Model L-433,307.38,6,0.0,130.06
64,CA-2021-100032,12/24/2021,12/29/2021,Standard Class,CG-10203,Robert Smith,Consumer,United States,San Diego,California,92037,West,OFF-ENV-10000064,Office Supplies,Envelopes,Envelopes Model M-470,78.12,9,0.2,13.13
65,CA-2021-100032,10/08/2021,10/09/2021,First Class,CG-10024,Ashley Black,Home Office,United States,San Antonio,Texas,78207,Central,FUR-FUR-10000065,Furniture,Furnishings,Furnishings Model N-507,75.53,3,0.15,-3.6
66,CA-2024-100033,10/10/2024,10/13/2024,Second Class,CG-10074,Ken Donatelli,Home Office,United States,Jacksonville,Florida,32216,South,OFF-SUP-10000066,Office Supplies,Supplies,Supplies Model O-544,675.92,7,0.2,-135.06
67,CA-2024-100033,11/04/2024,11/09/2024,Standard Class,CG-10745,James Jones,Consumer,United States,Indianapolis,Indiana,46203,Central,TEC-COP-10000067,Technology,Copiers,Copiers Model P-581,2658.5,1,0.0,1011.47
68,CA-2023-100034,12/21/2023,12/22/2023,First Class,CG-10566,James Johnson,Corporate,United States,Detroit,Michigan,48205,Central,OFF-SUP-10000068,Office Supplies,Supplies,Supplies Model Q-618,233.36,3,0.1,0.22
69,CA-2024-100034,01/03/2024,01/07/2024,Second Class,CG-10543,Tracy Davis,Consumer,United States,Seattle,Washington,98103,West,TEC-ACC-10000069,Technology,Accessories,Accessories Model R-655,1441.25,5,0.0,467.01
70,CA-2023-100035,12/19/2023,12/25/2023,Standard Class,CG-10204,Claire Garcia,Corporate,United States,San Francisco,California,94109,West,FUR-CHA-10000070,Furniture,Chairs,Chairs Model S-692,1076.88,4,0.0,101.64
71,CA-2023-100035,10/15/2023,10/19/2023,Second Class,CG-10240,Michael Johnson,Consumer,United States,Milwaukee,Wisconsin,53209,Central,OFF-ENV-10000071,Office Supplies,Envelopes,Envelopes Model T-729,19.33,1,0.0,6.5
72,CA-2021-100036,05/17/2021,05/24/2021,Standard Class,CG-10576,Tracy Jones,Consumer,United States,Tampa,Florida,33612,South,OFF-SUP-10000072,Office Supplies,Supplies,Supplies Model U-766,180.96,2,0.0,-8.18
73,CA-2021-100036,08/06/2021,08/07/2021,First Class,CG-10470,David Martinez,Consumer,United States,Houston,Texas,77005,Central,TEC-COP-10000073,Technology,Copiers,Copiers Model V-803,2282.62,1,0.0,1146.35
74,CA-2022-100037,03/07/2022,03/14/2022,Standard Class,CG-10784,Matt Black,Consumer,United States,San Antonio,Texas,78207,Central,OFF-APP-10000074,Office Supplies,Appliances,Appliances Model W-840,248.03,1,0.0,62.89
75,CA-2021-100037,08/15/2021,08/19/2021,Standard Class,CG-10302,Emily Blumstein,Consumer,United States,Portland,Oregon,97201,West,OFF-SUP-10000075,Office Supplies,Supplies,Supplies Model X-877,323.38,2,0.0,58.51
76,CA-2022-100038,09/13/2022,09/17/2022,Standard Class,CG-10099,John Gutenberg,Consumer,United States,Phoenix,Arizona,85023,West,FUR-TAB-10000076,Furniture,Tables,Tables Model Y-914,2260.28,4,0.0,-156.78
77,CA-2023-100038,10/11/2023,10/15/2023,Standard Class,CG-10487,Tracy Phan,Corporate,United States,Minneapolis,Minnesota,55407,Central,OFF-LAB-10000077,Office Supplies,Labels,Labels Model Z-951,20.1,3,0.0,10.2
78,CA-2023-100039,05/18/2023,05/24/2023,Standard Class,CG-10769,Eric Garcia,Home Office,United States,New York City,New York,10024,East,OFF-STO-10000078,Office Supplies,Storage,Storage Model A-988,84.69,3,0.0,21.46
79,CA-2023-100039,05/08/2023,05/15/2023,Standard Class,CG-10187,Matt Gutenberg,Home Office,United States,Los Angeles,California,90036,West,OFF-ENV-10000079,Office Supplies,Envelopes,Envelopes Model B-1025,52.28,1,0.0,17.37
80,CA-2023-100040,11/07/2023,11/11/2023,Standard Class,CG-10174,Maria Garcia,Consumer,United States,Baltimore,Maryland,21215,East,OFF-BIN-10000080,Office Supplies,Binders,Binders Model C-1062,74.38,2,0.2,-4.12
81,CA-2024-100040,06/05/2024,06/11/2024,Standard Class,CG-10646,Zuschuss Johnson,Corporate,United States,Milwaukee,Wisconsin,53209,Central,OFF-ENV-10000081,Office Supplies,Envelopes,Envelopes Model D-100,14.23,1,0.0,6.69
82,CA-2022-100041,02/16/2022,02/23/2022,Standard Class,CG-10225,Alejandro Allen,Corporate,United States,San Francisco,California,94109,West,OFF-ENV-10000082,Office Supplies,Envelopes,Envelopes Model E-137,338.8,7,0.0,137.93
83,CA-2022-100041,06/24/2022,06/29/2022,Standard Class,CG-10142,Maria Garcia,Consumer,United States,San Francisco,California,94109,West,OFF-LAB-10000083,Office Supplies,Labels,Labels Model F-174,26.44,2,0.0,12.0
84,CA-2023-100042,12/11/2023,12/14/2023,First Class,CG-10067,Alejandro Martinez,Consumer,United States,Louisville,Kentucky,40214,South,TEC-COP-10000084,Technology,Copiers,Copiers Model G-211,2225.0,1,0.0,1000.05
85,CA-2022-100042,10/18/2022,10/23/2022,Standard Class,CG-10360,Zuschuss Davis,Consumer,United States,Portland,Oregon,97201,West,TEC-ACC-10000085,Technology,Accessories,Accessories Model H-248,121.53,1,0.0,37.91
86,CA-2021-100043,10/29/2021,11/03/2021,Standard Class,CG-10713,Matt Wilson,Consumer,United States,Louisville,Kentucky,40214,South,OFF-STO-10000086,Office Supplies,Storage,Storage Model I-285,878.98,6,0.4,-278.84
87,CA-2023-100043,11/09/2023,11/15/2023,Standard Class,CG-10522,Eric Wilson,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-STO-10000087,Office Supplies,Storage,Storage Model J-322,334.04,2,0.0,31.12
88,CA-2024-100044,12/27/2024,12/31/2024,Standard Class,CG-10153,Emily Barstow,Consumer,United States,Richmond,Virginia,23223,South,TEC-MAC-10000088,Technology,Machines,Machines Model K-359,3005.15,8,0.8,-2742.7
89,CA-2023-100044,04/13/2023,04/17/2023,Second Class,CG-10494,Matt Miller,Home Office,United States,Minneapolis,Minnesota,55407,Central,OFF-STO-10000089,Office Supplies,Storage,Storage Model L-396,11.18,1,0.6,-7.7
90,CA-2021-100045,11/23/2021,11/28/2021,Second Class,CG-10170,Matt Miller,Consumer,United States,San Diego,California,92037,West,FUR-FUR-10000090,Furniture,Furnishings,Furnishings Model M-433,90.42,6,0.0,16.34
91,CA-2022-100045,10/29/2022,11/02/2022,Standard Class,CG-10246,James Martinez,Consumer,United States,Chicago,Illinois,60610,Central,FUR-FUR-10000091,Furniture,Furnishings,Furnishings Model N-470,278.9,2,0.0,74.03
92,CA-2023-100046,11/07/2023,11/14/2023,Standard Class,CG-10717,Daniel Jones,Corporate,United States,Buffalo,New York,14215,East,FUR-TAB-10000092,Furniture,Tables,Tables Model O-507,6403.65,5,0.0,594.41
93,CA-2021-100046,10/05/2021,10/09/2021,Standard Class,CG-10265,Daniel Smith,Corporate,United States,Las Vegas,Nevada,89115,West,OFF-SUP-10000093,Office Supplies,Supplies,Supplies Model P-544,203.46,2,0.0,18.11
94,CA-2021-100047,12/19/2021,12/25/2021,Standard Class,CG-10660,John Anderson,Corporate,United States,Memphis,Tennessee,38109,South,OFF-ENV-10000094,Office Supplies,Envelopes,Envelopes Model Q-581,94.42,2,0.0,38.44
95,CA-2021-100047,12/16/2021,12/18/2021,First Class,CG-10108,Daniel Allen,Corporate,United States,Seattle,Washington,98103,West,TEC-COP-10000095,Technology,Copiers,Copiers Model R-618,7920.05,6,0.2,1957.56
96,CA-2024-100048,04/02/2024,04/06/2024,Second Class,CG-10188,Robert Donatelli,Home Office,United States,Houston,Texas,77005,Central,TEC-PHO-10000096,Technology,Phones,Phones Model S-655,1029.03,3,0.15,89.36
97,CA-2023-100048,04/05/2023,04/10/2023,Standard Class,CG-10680,Pete Pawel,Consumer,United States,San Francisco,California,94109,West,OFF-ENV-10000097,Office Supplies,Envelopes,Envelopes Model T-692,44.86,2,0.0,16.01
98,CA-2021-100049,12/08/2021,12/08/2021,Same Day,CG-10690,Ashley Hoffman,Consumer,United States,Phoenix,Arizona,85023,West,FUR-TAB-10000098,Furniture,Tables,Tables Model U-729,4860.32,4,0.0,-462.6
99,CA-2023-100049,05/19/2023,05/21/2023,First Class,CG-10701,Pete Blumstein,Consumer,United States,Las Vegas,Nevada,89115,West,TEC-COP-10000099,Technology,Copiers,Copiers Model V-766,14810.75,5,0.0,6348.47
100,CA-2023-100050,01/23/2023,01/28/2023,Standard Class,CG-10660,John Anderson,Corporate,United States,Dallas,Texas,75220,Central,FUR-CHA-10000100,Furniture,Chairs,Chairs Model W-803,2138.8,5,0.1,-9.33
101,CA-2022-100050,03/12/2022,03/16/2022,Standard Class,CG-10559,Zuschuss Smith,Corporate,United States,Los Angeles,California,90036,West,FUR-TAB-10000101,Furniture,Tables,Tables Model X-840,4656.32,8,0.2,-1164.03
102,CA-2023-100051,11/07/2023,11/08/2023,First Class,CG-10197,Alejandro Garcia,Home Office,United States,San Diego,California,92037,West,OFF-FAS-10000102,Office Supplies,Fasteners,Fasteners Model Y-877,12.32,1,0.0,5.62
103,CA-2024-100051,09/22/2024,09/27/2024,Second Class,CG-10514,Harold Jones,Home Office,United States,New York City,New York,10024,East,TEC-PHO-10000103,Technology,Phones,Phones Model Z-914,541.94,2,0.0,177.15
104,CA-2023-100052,05/01/2023,05/06/2023,Standard Class,CG-10368,William Miller,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-CHA-10000104,Furniture,Chairs,Chairs Model A-951,490.16,2,0.0,76.71
105,CA-2021-100052,12/05/2021,12/12/2021,Standard Class,CG-10167,Matt Wilson,Corporate,United States,Richmond,Virginia,23223,South,TEC-MAC-10000105,Technology,Machines,Machines Model B-988,6112.86,5,0.15,6.21
106,CA-2022-100053,03/28/2022,04/02/2022,Standard Class,CG-10094,Claire Williams,Consumer,United States,Detroit,Michigan,48205,Central,OFF-ENV-10000106,Office Supplies,Envelopes,Envelopes Model C-1025,79.48,2,0.0,36.96
107,CA-2022-100053,05/15/2022,05/19/2022,Standard Class,CG-10209,Harold Black,Consumer,United States,Portland,Oregon,97201,West,OFF-PAP-10000107,Office Supplies,Paper,Paper Model D-1062,41.76,1,0.0,16.24
108,CA-2021-100054,10/18/2021,10/24/2021,Standard Class,CG-10068,Brosina Ballentine,Consumer,United States,Dallas,Texas,75220,Central,FUR-CHA-10000108,Furniture,Chairs,Chairs Model E-100,341.75,1,0.0,62.43
109,CA-2021-100054,08/03/2021,08/06/2021,Second Class,CG-10214,Alejandro Jones,Consumer,United States,Baltimore,Maryland,21215,East,OFF-LAB-10000109,Office Supplies,Labels,Labels Model F-137,20.52,6,0.0,10.6
110,CA-2022-100055,06/02/2022,06/02/2022,Same Day,CG-10321,David Garcia,Home Office,United States,Buffalo,New York,14215,East,OFF-FAS-10000110,Office Supplies,Fasteners,Fasteners Model G-174,13.62,1,0.2,0.64
111,CA-2021-100055,07/27/2021,08/01/2021,Standard Class,CG-10344,Maria Pawel,Corporate,United States,Tampa,Florida,33612,South,OFF-BIN-10000111,Office Supplies,Binders,Binders Model H-211,89.03,1,0.2,-32.88
112,CA-2022-100056,02/07/2022,02/11/2022,Second Class,CG-10107,Andrew Jones,Corporate,United States,Minneapolis,Minnesota,55407,Central,FUR-FUR-10000112,Furniture,Furnishings,Furnishings Model I-248,216.0,2,0.0,57.61
113,CA-2021-100056,11/04/2021,11/06/2021,First Class,CG-10442,Jessica Donatelli,Consumer,United States,Boston,Massachusetts,02116,East,TEC-COP-10000113,Technology,Copiers,Copiers Model J-285,2420.49,1,0.15,659.68
114,CA-2021-100057,10/17/2021,10/23/2021,Standard Class,CG-10413,Matt Brown,Consumer,United States,Seattle,Washington,98103,West,FUR-BOO-10000114,Furniture,Bookcases,Bookcases Model K-322,1266.64,2,0.0,123.98
115,CA-2021-100057,06/25/2021,07/01/2021,Standard Class,CG-10261,William Barstow,Home Office,United States,Philadelphia,Pennsylvania,19140,East,TEC-COP-10000115,Technology,Copiers,Copiers Model L-359,3172.02,2,0.0,1115.95
116,CA-2023-100058,05/10/2023,05/14/2023,Second Class,CG-10247,Alejandro Garcia,Consumer,United States,Detroit,Michigan,48205,Central,OFF-ENV-10000116,Office Supplies,Envelopes,Envelopes Model M-396,80.3,4,0.6,-39.17
117,CA-2023-100058,10/11/2023,10/18/2023,Standard Class,CG-10574,Matt Black,Home Office,United States,Buffalo,New York,14215,East,FUR-FUR-10000117,Furniture,Furnishings,Furnishings Model N-433,113.52,1,0.0,25.48
118,CA-2024-100059,09/23/2024,09/26/2024,First Class,CG-10502,Matt Anderson,Consumer,United States,Las Vegas,Nevada,89115,West,TEC-ACC-10000118,Technology,Accessories,Accessories Model O-470,393.58,2,0.0,164.33
119,CA-2022-100059,11/22/2022,11/26/2022,Standard Class,CG-10775,Robert Martinez,Consumer,United States,New York City,New York,10024,East,OFF-BIN-10000119,Office Supplies,Binders,Binders Model P-507,92.22,2,0.0,19.97
120,CA-2024-100060,04/25/2024,04/30/2024,Second Class,CG-10567,Zuschuss Barstow,Home Office,United States,Minneapolis,Minnesota,55407,Central,OFF-ENV-10000120,Office Supplies,Envelopes,Envelopes Model Q-544,69.8,2,0.15,13.79
